epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,58.2638,1.19658,2.91445,1.34365,0.04022,1.75849,0.83545,0.74151,0.78321,0.57842,0.7197,0.64324,0.63594,0.35673,1.34554,2.64618,1.30852,0.03599,0,1.65017e-05,1.65017e-05,0.0670132
2,116.089,1.06694,2.66449,1.26231,0.03468,1.45181,0.80439,0.79716,0.8369,0.66553,0.76846,0.75486,0.76691,0.57305,1.00862,1.60082,1.05336,0.02548,0,3.15265e-05,3.15265e-05,0.0336949
3,173.97,0.96977,2.47455,1.0762,0.03357,1.21902,0.81779,0.80581,0.85472,0.69365,0.75674,0.77578,0.77776,0.62929,0.89974,1.37076,0.99007,0.0216,0,4.49013e-05,4.49013e-05,0.000374934
4,232.093,0.93807,2.49984,1.10921,0.03151,1.25327,0.81504,0.81808,0.87403,0.72208,0.80976,0.76578,0.79241,0.63403,0.86407,1.35027,0.94299,0.02064,0,4.2575e-05,4.2575e-05,4.2575e-05
5,290.19,0.92882,2.40144,1.01988,0.03161,1.21059,0.85283,0.81984,0.87846,0.73609,0.81407,0.78685,0.7935,0.64298,0.85869,1.35454,0.86152,0.02071,0,4.01e-05,4.01e-05,4.01e-05
6,348.554,0.94955,2.40967,1.10166,0.03172,1.2775,0.87501,0.79758,0.87509,0.73609,0.83596,0.76049,0.8061,0.65182,0.83647,1.35501,0.8854,0.02,0,3.7625e-05,3.7625e-05,3.7625e-05
7,406.964,0.87686,2.42066,1.01958,0.02894,1.1902,0.8542,0.81101,0.87805,0.73432,0.81055,0.76781,0.80658,0.65663,0.8123,1.32713,0.85439,0.01929,0,3.515e-05,3.515e-05,3.515e-05
8,468.313,0.90107,2.3915,1.03288,0.03013,1.16845,0.88954,0.78173,0.88257,0.73647,0.86301,0.73612,0.80505,0.65764,0.79657,1.32719,0.84602,0.01902,0,3.2675e-05,3.2675e-05,3.2675e-05
9,526.864,0.89471,2.33531,1.04054,0.0299,1.13349,0.89372,0.78273,0.88489,0.74607,0.8472,0.73431,0.8048,0.66111,0.79283,1.34359,0.83211,0.01905,0,3.02e-05,3.02e-05,3.02e-05
10,585.505,0.85174,2.33307,1.02908,0.02853,1.09443,0.88775,0.80445,0.88842,0.74524,0.8378,0.76446,0.81027,0.66432,0.80372,1.33128,0.83568,0.01935,0,2.7725e-05,2.7725e-05,2.7725e-05
11,644.108,0.86376,2.27115,0.97607,0.02923,1.11568,0.86393,0.81262,0.89165,0.75057,0.82887,0.78874,0.828,0.67196,0.78159,1.318,0.80104,0.01876,0,2.525e-05,2.525e-05,2.525e-05
12,704.838,0.86189,2.3102,0.96306,0.02902,1.03868,0.88385,0.79969,0.88951,0.74982,0.83679,0.77605,0.82693,0.66907,0.79431,1.31515,0.79557,0.01941,0,2.2775e-05,2.2775e-05,2.2775e-05
13,763.184,0.85385,2.28407,0.95589,0.02823,1.05041,0.90418,0.79027,0.8966,0.75878,0.85142,0.74555,0.81622,0.66416,0.79647,1.32281,0.75273,0.01945,0,2.03e-05,2.03e-05,2.03e-05
14,821.789,0.82622,2.25331,0.92396,0.02767,1.03087,0.85426,0.82915,0.89609,0.75755,0.80415,0.79815,0.81486,0.66588,0.78869,1.30965,0.75615,0.01925,0,1.7825e-05,1.7825e-05,1.7825e-05
15,880.429,0.85279,2.33284,0.96548,0.02824,1.06533,0.91461,0.7786,0.89644,0.75465,0.79121,0.79085,0.81524,0.66281,0.78991,1.30538,0.7479,0.01925,0,1.535e-05,1.535e-05,1.535e-05
16,939.329,0.78509,2.20631,0.79627,0.02779,0.92545,0.91672,0.77641,0.89273,0.75175,0.87035,0.7387,0.811,0.65903,0.78275,1.30186,0.76316,0.01906,0,1.2875e-05,1.2875e-05,1.2875e-05
17,998.609,0.80439,2.20455,0.7805,0.02848,0.91676,0.86165,0.80665,0.89156,0.75196,0.8205,0.77014,0.80984,0.66265,0.78332,1.29341,0.75831,0.01897,0,1.04e-05,1.04e-05,1.04e-05
18,1057.13,0.81433,2.20408,0.78234,0.02882,0.93015,0.8707,0.82849,0.89612,0.75474,0.83398,0.79432,0.82592,0.66331,0.7955,1.27611,0.74877,0.01897,0,7.925e-06,7.925e-06,7.925e-06
19,1115.74,0.76037,2.16792,0.7628,0.02654,0.92983,0.90101,0.78356,0.89134,0.75451,0.84847,0.74181,0.81098,0.66152,0.80426,1.29555,0.73858,0.01962,0,5.45e-06,5.45e-06,5.45e-06
20,1175.47,0.80998,2.22157,0.78265,0.0285,0.90145,0.8626,0.82486,0.89538,0.75622,0.81214,0.78084,0.81268,0.66702,0.79752,1.2902,0.73349,0.01931,0,2.975e-06,2.975e-06,2.975e-06
